Model	Transcription factor
AHR_HUMAN.H11MO.0.B	HUMAN:AHR
AIRE_HUMAN.H11MO.0.C	HUMAN:AIRE
ALX1_HUMAN.H11MO.0.B	HUMAN:ALX1
ALX3_HUMAN.H11MO.0.D	HUMAN:ALX3
ALX4_HUMAN.H11MO.0.D	HUMAN:ALX4
ANDR_HUMAN.H11MO.0.A	HUMAN:AR
ANDR_HUMAN.H11MO.1.A	HUMAN:AR
ANDR_HUMAN.H11MO.2.A	HUMAN:AR
AP2A_HUMAN.H11MO.0.A	HUMAN:TFAP2A
AP2B_HUMAN.H11MO.0.B	HUMAN:TFAP2B
AP2C_HUMAN.H11MO.0.A	HUMAN:TFAP2C
AP2D_HUMAN.H11MO.0.D	HUMAN:TFAP2D
ARI3A_HUMAN.H11MO.0.D	HUMAN:ARID3A
ARI5B_HUMAN.H11MO.0.C	HUMAN:ARID5B
ARNT2_HUMAN.H11MO.0.D	HUMAN:ARNT2
ARNT_HUMAN.H11MO.0.B	HUMAN:ARNT
ARX_HUMAN.H11MO.0.D	HUMAN:ARX
ASCL1_HUMAN.H11MO.0.A	HUMAN:ASCL1
ASCL2_HUMAN.H11MO.0.D	HUMAN:ASCL2
ATF1_HUMAN.H11MO.0.B	HUMAN:ATF1
ATF2_HUMAN.H11MO.0.B	HUMAN:ATF2
ATF2_HUMAN.H11MO.1.B	HUMAN:ATF2
ATF2_HUMAN.H11MO.2.C	HUMAN:ATF2
ATF3_HUMAN.H11MO.0.A	HUMAN:ATF3
ATF4_HUMAN.H11MO.0.A	HUMAN:ATF4
ATF6A_HUMAN.H11MO.0.B	HUMAN:ATF6
ATF7_HUMAN.H11MO.0.D	HUMAN:ATF7
ATOH1_HUMAN.H11MO.0.B	HUMAN:ATOH1
BACH1_HUMAN.H11MO.0.A	HUMAN:BACH1
BACH2_HUMAN.H11MO.0.A	HUMAN:BACH2
BARH1_HUMAN.H11MO.0.D	HUMAN:BARHL1
BARH2_HUMAN.H11MO.0.D	HUMAN:BARHL2
BARX1_HUMAN.H11MO.0.D	HUMAN:BARX1
BARX2_HUMAN.H11MO.0.D	HUMAN:BARX2
BATF3_HUMAN.H11MO.0.B	HUMAN:BATF3
BATF_HUMAN.H11MO.0.A	HUMAN:BATF
